sec, nanosec, x, y, th
4,217000000,-1.9999391339621218,-0.5000009973855662,2.0759264900219355e-0
4,251000000,-1.9999382955969678,-0.5000009961142752,2.1000940620298962e-0
4,285000000,-1.999938028012174,-0.5000009950931392,2.106782805362646e-0
4,319000000,-1.9987835214565854,-0.5000009992626616,6.22763721990231e-0
4,353000000,-1.996474157951432,-0.5000010066241536,8.48115735030851e-0
4,387000000,-1.9930098084314567,-0.5000010164845803,8.06533285088619e-0
4,421000000,-1.9883899341562463,-0.5000010272772423,9.34056428947185e-0
4,455000000,-1.9826145685014422,-0.5000010390471269,1.0390389254678652e-0
4,489000000,-1.9756837210454947,-0.5000010499686638,1.0471166989086822e-0
4,523000000,-1.9675973888901062,-0.5000010566932188,1.0891180373557955e-0
4,557000000,-1.9591027197378912,-0.5000010609465126,9.550437130999285e-0
4,591000000,-1.9506077936153652,-0.500001063121109,8.59153770163011e-0
4,625000000,-1.942112465232952,-0.5000010613192971,9.851948890057254e-0
4,659000000,-1.933616734709123,-0.5000010572069342,1.061038032561005e-0
4,693000000,-1.9251206040909126,-0.5000010497730825,1.0556085796524155e-0
4,727000000,-1.916624076096041,-0.500001036461422,1.094453012468565e-0
4,761000000,-1.9081271527685508,-0.5000010192525417,1.1406234109313008e-0
4,795000000,-1.8996298361666764,-0.50000100122917,1.1598197911842993e-0
4,829000000,-1.8911321287264928,-0.5000009819447243,1.201993439518669e-0
4,863000000,-1.8826340326216071,-0.5000009597843802,1.2631446745803608e-0
4,897000000,-1.8741355499187973,-0.5000009347741592,1.3019992473717728e-0
4,931000000,-1.8656366829124467,-0.5000009078969265,1.3291023201933656e-0
4,965000000,-1.8571374340206936,-0.5000008799916004,1.3705690806320047e-0
4,999000000,-1.8486378055973338,-0.5000008514403476,1.4209102976009957e-0
5,33000000,-1.840137801848453,-0.5000008220531952,1.4678599904329915e-0
5,67000000,-1.831637425837204,-0.5000007918532491,1.5095154808935577e-0
5,101000000,-1.823136677390234,-0.5000007614117065,1.5544923123141583e-0
5,135000000,-1.8146355590862344,-0.5000007307654801,1.6035477707644087e-0
