x, y, th, stamp, 
-1.9999547608278014,-0.5000010743713071,1.472966209160533e-07,builtin_interfaces.msg.Time(sec=2, nanosec=466000000),
-1.9999574200055863,-0.500001077935803,1.5317875254164033e-07,builtin_interfaces.msg.Time(sec=2, nanosec=500000000),
-1.9999595183035002,-0.5000010810818643,1.473033615415867e-07,builtin_interfaces.msg.Time(sec=2, nanosec=534000000),
-1.9999610742110239,-0.50000108352294,1.3622517751625461e-07,builtin_interfaces.msg.Time(sec=2, nanosec=568000000),
-1.998807685014426,-0.500001084779353,7.671684923127588e-07,builtin_interfaces.msg.Time(sec=2, nanosec=602000000),
-1.9964982875224364,-0.5000010922921501,1.0670233081247093e-06,builtin_interfaces.msg.Time(sec=2, nanosec=636000000),
-1.9930334977189679,-0.5000011014813535,8.011187004054405e-07,builtin_interfaces.msg.Time(sec=2, nanosec=670000000),
-1.9884132501350316,-0.5000011009073805,8.41944298595186e-07,builtin_interfaces.msg.Time(sec=2, nanosec=704000000),
-1.982637530672011,-0.5000010967163043,1.0191485379765266e-06,builtin_interfaces.msg.Time(sec=2, nanosec=738000000),
-1.9757063305937348,-0.5000010967203647,1.0004436649673148e-06,builtin_interfaces.msg.Time(sec=2, nanosec=772000000),
-1.9676196462179756,-0.5000010940578986,1.030823161760455e-06,builtin_interfaces.msg.Time(sec=2, nanosec=806000000),
-1.9583774730553203,-0.5000010799748311,1.1616941945291408e-06,builtin_interfaces.msg.Time(sec=2, nanosec=840000000),
-1.9479798066547709,-0.5000010550407168,1.196055796604161e-06,builtin_interfaces.msg.Time(sec=2, nanosec=874000000),
-1.9364266429271937,-0.5000010221004886,1.178640515698051e-06,builtin_interfaces.msg.Time(sec=2, nanosec=908000000),
-1.923717979194171,-0.5000009794447248,1.234150874582406e-06,builtin_interfaces.msg.Time(sec=2, nanosec=942000000),
-1.909853811495471,-0.500000922864908,1.3150372837929926e-06,builtin_interfaces.msg.Time(sec=2, nanosec=976000000),
-1.894834135472538,-0.5000008489204576,1.3588370441000597e-06,builtin_interfaces.msg.Time(sec=3, nanosec=10000000),
-1.8786589472807715,-0.5000007553413608,1.3888770405127506e-06,builtin_interfaces.msg.Time(sec=3, nanosec=44000000),
-1.861328242860195,-0.5000006403059707,1.4246853917207606e-06,builtin_interfaces.msg.Time(sec=3, nanosec=78000000),
-1.8428420183722054,-0.5000005023102252,1.4619811671198405e-06,builtin_interfaces.msg.Time(sec=3, nanosec=112000000),
-1.823200270168197,-0.5000003389488524,1.5050725651671976e-06,builtin_interfaces.msg.Time(sec=3, nanosec=146000000),
-1.802403842302518,-0.5000001448395595,1.5831937481266197e-06,builtin_interfaces.msg.Time(sec=3, nanosec=180000000),
-1.7804527324501604,-0.4999999148156863,1.7246516959655134e-06,builtin_interfaces.msg.Time(sec=3, nanosec=214000000),
-1.7573461529362442,-0.4999996497111004,1.743975056466378e-06,builtin_interfaces.msg.Time(sec=3, nanosec=248000000),
-1.7330840474755453,-0.49999934811744984,1.7334188500747915e-06,builtin_interfaces.msg.Time(sec=3, nanosec=282000000),
-1.7076664447545444,-0.49999900801887426,1.7734320614992437e-06,builtin_interfaces.msg.Time(sec=3, nanosec=316000000),
-1.681093352075222,-0.49999862890790225,1.7961431815856814e-06,builtin_interfaces.msg.Time(sec=3, nanosec=350000000),
-1.6533647743494473,-0.4999982087579159,1.7870548333725672e-06,builtin_interfaces.msg.Time(sec=3, nanosec=384000000),
